kernel,seq_len,head_dim,iterations,elapsed_ms,gflops,bandwidth_gb_s,checksum
parallel_128,512,64,25,41.0713,41.2878,3.51046,0
parallel_128,1024,64,25,89.5796,75.6103,5.56012,0
parallel_128,2048,64,25,225.426,120.097,8.14019,0
parallel_128,4096,64,25,711.572,152.131,9.87315,0
parallel_128,8192,64,25,2614.96,165.559,10.506,0
parallel_128,16384,64,25,10565.1,163.896,10.2822,0
parallel_128,32768,64,25,46372.5,149.355,9.31615,0
